Date,Forward,Backward
22/01/2020,0,128219.1781
23/01/2020,0,128219.1781
24/01/2020,0,128219.1781
25/01/2020,0,128219.1781
26/01/2020,0,128219.1781
27/01/2020,0,128219.1781
28/01/2020,0,128219.1781
29/01/2020,0,128219.1781
30/01/2020,0,128219.1781
31/01/2020,0,128219.1781
01/02/2020,0,128219.1781
02/02/2020,0,128219.1781
03/02/2020,0,128219.1781
04/02/2020,0,128219.1781
05/02/2020,0,128219.1781
06/02/2020,0,128219.1781
07/02/2020,0,128219.1781
08/02/2020,0,128219.1781
09/02/2020,0,128219.1781
10/02/2020,0,128219.1781
11/02/2020,0,128219.1781
12/02/2020,0,128219.1781
13/02/2020,0,128219.1781
14/02/2020,0,128219.1781
15/02/2020,0,128219.1781
16/02/2020,0,128219.1781
17/02/2020,0,128219.1781
18/02/2020,0,128219.1781
19/02/2020,0,128219.1781
20/02/2020,0,128219.1781
21/02/2020,0,128219.1781
22/02/2020,0,128219.1781
23/02/2020,0,128219.1781
24/02/2020,0,128219.1781
25/02/2020,0,128219.1781
26/02/2020,0,128219.1781
27/02/2020,0,128219.1781
28/02/2020,0,128219.1781
29/02/2020,0,128219.1781
01/03/2020,0,128219.1781
02/03/2020,0,128219.1781
03/03/2020,0,128219.1781
04/03/2020,0,128219.1781
05/03/2020,0,128219.1781
06/03/2020,0,128219.1781
07/03/2020,0,128219.1781
08/03/2020,0,128219.1781
09/03/2020,0,128219.1781
10/03/2020,0,128219.1781
11/03/2020,0,128219.1781
12/03/2020,0,128219.1781
13/03/2020,0,128219.1781
14/03/2020,0,128219.1781
15/03/2020,0,128219.1781
16/03/2020,0,0
17/03/2020,0,0
18/03/2020,0,0
19/03/2020,0,0
20/03/2020,0,0
21/03/2020,0,0
22/03/2020,0,0
23/03/2020,0,0
24/03/2020,0,0
25/03/2020,0,0
26/03/2020,0,0
27/03/2020,0,0
28/03/2020,0,0
29/03/2020,0,0
30/03/2020,0,0
31/03/2020,0,0
01/04/2020,0,0
02/04/2020,0,0
03/04/2020,0,0
04/04/2020,0,0
05/04/2020,0,0
06/04/2020,0,0
07/04/2020,0,0
08/04/2020,0,0
09/04/2020,0,0
10/04/2020,0,0
11/04/2020,0,0
12/04/2020,0,0
13/04/2020,0,0
14/04/2020,0,0
15/04/2020,0,0
16/04/2020,0,0
17/04/2020,0,0
18/04/2020,0,0
19/04/2020,0,0
20/04/2020,0,0
21/04/2020,0,0
22/04/2020,0,0
23/04/2020,0,0
24/04/2020,0,0
25/04/2020,0,0
26/04/2020,0,0
27/04/2020,0,0
28/04/2020,0,0
29/04/2020,0,0
30/04/2020,0,0
01/05/2020,0,0
02/05/2020,0,0
03/05/2020,0,0
04/05/2020,0,0
05/05/2020,0,0
06/05/2020,0,0
07/05/2020,0,0
08/05/2020,0,0
09/05/2020,0,0
10/05/2020,0,0
11/05/2020,0,0
12/05/2020,0,0
13/05/2020,0,0
14/05/2020,0,0
15/05/2020,0,0
16/05/2020,0,0
17/05/2020,0,0
18/05/2020,0,0
19/05/2020,0,0
20/05/2020,0,0
21/05/2020,0,0
22/05/2020,0,0
23/05/2020,0,0
24/05/2020,0,0
25/05/2020,0,0
26/05/2020,0,0
27/05/2020,0,0
28/05/2020,0,0
29/05/2020,0,0
30/05/2020,0,0
31/05/2020,0,0
01/06/2020,0,0
02/06/2020,0,0
03/06/2020,0,0
04/06/2020,0,0
05/06/2020,0,0
06/06/2020,0,0
