I,R,D
0,0,0
0,0,0
2,0,0
3,0,0
3,0,0
3,0,0
4,0,0
5,0,0
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
11,0,0
11,0,0
11,0,0
11,0,0
9,2,0
9,2,0
9,2,0
7,4,1
7,4,1
7,4,1
7,4,1
7,4,1
7,4,1
7,4,1
7,4,1
7,4,1
7,4,1
2,11,1
5,11,2
25,11,2
44,11,2
86,12,2
116,12,2
176,12,3
188,12,4
269,12,4
359,12,6
632,12,9
926,12,11
1095,12,19
1178,12,19
1739,12,33
2221,12,48
2221,12,48
3570,12,79
4366,12,91
4396,12,91
6473,12,148
7492,12,148
8883,12,148
10616,12,243
12150,12,450
13708,12,562
13144,2200,674
16796,2200,860
17961,3243,1100
20002,3900,1331
22511,4948,1696
25269,5700,1995
29561,5700,2314
30366,7202,2606
33599,7927,3024
39161,9444,3523
41652,10934,4403
41290,12428,5387
43823,14008,6507
45607,15438,7560
46217,16183,8078
48229,17250,8911
48502,19337,10328
49925,21254,10869
50918,23206,12210
52547,24932,13197
53567,26391,13832
79054,27186,14393
81613,27718,14967
85033,28512,15712
84885,30440,17148
94746,32297,17901
94428,33834,18661
92224,35379,19303
96141,35973,19694
97166,36782,20240
97613,38543,20765
93418,39988,21309
93787,41414,21825
93707,42715,22214
93893,43816,22583
93897,44125,22825
96594,44733,23262
97979,45997,23629
93699,47338,24056
92847,48572,24345
91901,49300,24563
92496,49751,24729
92435,49973,24864
92280,50438,25168
91634,51803,25498
93671,53022,25772
93015,54076,25949
93356,54770,26192
93601,54886,26271
93624,55062,26341
93306,55569,26604
92639,56617,26951
91581,57368,27032
91031,58300,27381
90691,59143,27485
90582,59142,27483
89271,59907,28062
88945,60416,28193
89206,61246,27976
89272,61713,28084
88923,62216,28167
88847,62557,28241
88787,62893,28284
88581,62961,28317
88217,63542,28407
87185,64222,28480
86995,64503,28546
89600,65098,28611
89554,65599,28663
90845,66051,28720
90977,66123,28751
91053,66120,28779
89609,66485,28886
92838,67031,28967
89466,67510,29010
89475,68007,29056
89698,68282,29087
