I,R,D
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
8,0,0
8,0,0
8,1,0
8,1,0
8,1,0
8,1,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
5,8,0
5,8,0
5,8,0
7,8,0
12,8,0
15,8,0
28,8,0
32,8,0
43,8,0
77,8,0
107,8,0
154,8,1
186,18,2
253,18,2
300,18,3
357,18,7
431,18,7
429,18,9
770,18,10
1094,18,28
1079,18,43
1458,20,65
1817,52,81
2446,65,115
2466,65,158
3724,65,194
4703,65,250
5333,65,285
6226,65,359
7434,135,508
8700,135,694
10646,135,877
13247,135,1161
15499,135,1455
17718,135,1669
19963,135,2043
22590,135,2425
26244,135,3095
29836,135,3747
33572,135,4461
36547,135,5221
41806,135,5865
45040,135,6433
47636,135,7471
52093,135,8505
55334,135,9608
62654,344,10760
67048,344,11599
71650,344,12285
75248,344,13029
79456,344,14073
83217,344,14915
86805,344,15944
91469,344,16879
95879,344,17994
101231,344,18492
105348,344,19051
108477,344,20223
112091,344,21060
115947,344,21787
120328,344,22792
124398,344,23635
128441,344,24055
132412,344,24393
135499,344,25302
138780,344,26097
144138,344,26771
149600,344,27510
153785,344,28131
157809,344,28446
161506,344,28734
165219,344,29427
170681,344,30076
175756,344,30615
179779,344,31241
183329,344,31587
186984,344,31855
190651,344,32065
193427,344,32692
196175,344,33186
199193,344,33614
202369,344,33998
205351,344,34466
208715,344,34636
211266,344,34796
213133,344,35341
212245,344,35704
214522,344,36042
217458,344,36393
220135,344,36675
222422,344,36793
223926,344,36914
227835,344,37048
229436,344,37460
230946,344,37837
232717,344,38161
234106,344,38376
235929,344,38489
236943,344,39045
238272,344,39369
239784,344,39728
241413,344,39904
242706,344,40261
244059,344,40465
