I,R,D
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
4,0,0
4,0,0
4,0,0
5,0,0
8,0,0
10,0,0
12,0,0
12,0,0
12,0,0
12,0,0
13,0,0
13,0,0
14,0,0
14,0,0
16,0,0
16,0,0
15,1,0
15,1,0
15,1,0
15,1,0
15,1,0
4,12,0
4,12,0
4,12,0
2,14,0
2,14,0
2,14,0
2,14,0
3,14,0
12,15,0
30,16,0
32,16,0
63,16,0
114,16,0
143,16,0
180,16,0
246,16,0
466,16,0
653,17,0
781,18,0
1022,18,0
1156,18,2
1437,18,2
1880,25,3
2050,25,3
3622,46,7
4530,46,9
5738,46,11
7188,67,17
9166,67,24
12194,105,28
15163,113,44
19601,180,67
21896,233,84
24513,266,94
28667,266,123
29586,3243,157
33570,3547,206
37998,5673,267
43871,6658,342
48781,8481,433
52351,9211,533
52740,13500,645
54933,16100,775
58252,18700,920
61247,22440,1107
65309,24575,1275
68248,26400,1444
69839,28700,1584
72864,28700,1810
69566,36081,2016
64647,46300,2349
63167,52407,2607
65491,53913,2767
64772,57400,2736
64532,60300,3022
62578,64300,3194
59865,68200,3294
58349,72600,3804
56646,77000,4052
53931,83114,4352
53483,85400,4459
52598,88000,4586
50703,91500,4862
48058,95200,5033
45969,99400,5279
44254,103300,5575
39439,109800,5760
40836,109800,5877
39794,112000,5976
38132,114500,6126
36198,117400,6314
34672,120400,6467
32886,123500,6623
30441,126900,6736
29155,129000,6812
28198,130600,6866
26459,132700,6993
24914,135100,6993
20987,139900,7275
20338,141700,7392
21378,141700,7510
20475,143300,7549
19910,144400,7569
19298,145617,7661
18233,147200,7738
17537,148700,7861
16294,150300,7884
15739,151597,7897
15214,152600,7938
14396,154011,7962
13507,155041,8003
14016,155681,8081
13363,156966,8144
12731,158087,8203
12418,159064,8228
12009,159716,8261
11764,160281,8283
11092,161199,8309
10861,161967,8372
10276,162820,8428
10366,163360,8470
10173,164245,8504
9751,164908,8530
9518,165352,8540
9407,165632,8555
8707,166609,8563
8066,167453,8602
7928,167909,8635
7786,168480,8658
7819,168958,8673
