I,R,D
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
19,0,1
59,1,2
150,2,3
221,1,7
311,1,10
438,3,12
593,45,17
821,46,21
1053,46,29
1577,83,34
1835,149,52
2263,160,79
2706,276,107
3296,414,148
3916,523,197
5061,589,233
6387,622,366
7985,724,463
8794,724,631
10590,1045,827
13052,1045,1016
14955,1439,1266
17750,1966,1441
20603,2335,1809
23073,2749,2158
26062,2941,2503
28710,4025,2978
33190,4440,3405
38549,4440,4032
42681,6072,4825
46638,7024,5476
50826,7024,6077
54030,8326,6820
57521,9362,7503
62013,10361,8215
66414,10950,9134
70065,12384,10023
73880,13030,10779
75528,14620,11591
77635,15729,12428
80572,16847,13155
83049,18278,13915
85388,19758,14681
88274,20996,15362
91246,21815,15887
93187,22837,16523
94067,24392,17127
95262,26491,17669
96877,28470,18279
98273,30455,18849
100269,32534,19468
102253,34211,19899
103616,35435,20465
104291,37130,21067
105418,38092,21645
106607,40164,22170
106962,42727,22745
107771,44927,23227
108257,47055,23660
108237,48877,24114
107709,51600,24648
107699,54543,25085
106848,57576,25549
106527,60498,25969
105847,63120,26384
106103,64928,26644
105813,66624,26977
105205,68941,27359
104657,71252,27682
101551,75945,27967
100943,78249,28236
100704,79914,28710
100179,81654,28884
99980,82879,29079
98467,85231,29315
91528,93245,29684
89624,96276,29958
87961,99023,30201
84842,103031,30395
83324,105186,30560
82488,106587,30739
81266,109039,30911
78457,112541,31106
76440,115288,31368
72070,120205,31610
70187,122810,31763
68351,125176,31908
66553,127326,32007
65129,129401,32169
62752,132282,32330
60960,134560,32486
59322,136720,32616
57752,138840,32735
56594,140479,32785
55300,141981,32877
52942,144658,32955
50966,147101,33072
47986,150604,33142
46175,152844,33229
43691,155633,33340
42075,157507,33415
41367,158355,33475
39893,160092,33530
39297,160938,33601
38429,161895,33689
36976,163781,33774
35877,165078,33846
