I,R,D
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
4,2,0
11,2,0
13,2,0
30,2,0
43,2,0
82,2,0
118,2,0
162,2,1
218,2,2
254,2,3
393,2,5
460,30,10
626,30,17
1013,32,28
1628,32,35
2040,183,54
2039,183,55
4906,193,133
5679,517,195
6992,517,289
9070,530,342
10187,1028,533
12206,1081,623
16026,1107,830
17779,1588,1043
21874,2125,1375
24421,2575,1772
30250,2575,2311
33283,3794,2808
40501,5367,3647
46406,7015,4365
51224,9357,5138
54968,12285,5982
58598,14709,6803
63460,16780,7716
68200,19259,8464
72084,22647,9387
74974,26743,10348
77488,30513,11198
80002,34219,11947
80925,38080,12641
82897,40437,13341
84689,43208,14045
85407,48021,14792
85610,52165,15447
86524,55668,16081
87312,59109,16606
87231,62391,17209
87616,64727,17756
86981,67504,18056
88083,70853,18708
90836,74797,19315
96040,74797,20002
96886,74797,20043
100864,77357,20453
98771,80587,20852
100382,82514,21282
100757,85915,21717
101617,89250,22157
88111,92355,22524
87295,95708,22902
86072,98372,23190
85069,100875,23521
84403,102548,23822
79695,108947,24275
76842,112050,24543
78623,112050,24543
74234,117248,25100
73300,118902,25264
71240,121343,25428
70230,123486,25613
68466,126002,25857
66866,128511,26070
65410,131148,26299
63148,133952,26478
61563,136166,26621
63553,137139,26744
62130,138980,26920
60764,140823,27104
58845,143374,27321
57941,144783,27459
56689,146446,27563
56689,146446,27563
53521,150376,27709
53883,150376,27778
54291,150376,27888
54721,150376,27940
55820,150376,28628
56236,150376,28678
56644,150376,28752
58190,150376,26834
58766,150376,27117
58766,150376,27117
60411,150376,27119
61067,150376,27121
61727,150376,27125
61976,150376,27127
62135,150376,27127
62429,150376,27127
62822,150376,27128
63151,150376,27133
63468,150376,27134
63799,150376,27135
