Cum. Cases,Cum. Deaths
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
3,0
4,0
4,0
8,0
8,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
13,0
13,0
13,0
13,0
16,0
18,0
23,0
36,0
40,0
51,0
85,0
115,0
163,1
206,2
273,2
321,3
373,7
456,7
590,9
707,10
1140,28
1391,43
1543,65
1950,81
2630,115
3277,158
3983,194
5018,250
5683,285
6650,359
8077,508
9529,694
11658,877
14543,1161
17089,1455
19522,1669
22141,2043
25150,2425
29474,3095
33718,3747
38168,4461
41903,5221
47806,5865
51608,6433
55242,7471
60733,8505
65077,9608
70272,10760
78991,11599
84279,12285
88621,13029
93873,14073
98476,14915
103093,15944
108692,16879
114217,17994
120067,18492
124743,19051
129044,20223
133495,21060
138078,21787
143464,22792
148377,23635
152840,24055
157149,24393
161145,25302
165221,26097
171253,26771
177454,27510
182260,28131
186599,28446
190584,28734
194990,29427
201201,30076
206715,30615
211364,31241
215260,31587
219183,31855
223060,32065
226463,32692
229705,33186
233151,33614
236711,33998
240161,34466
243695,34636
246406,34796
248818,35341
248293,35704
250908,36042
254195,36393
257154,36675
259559,36793
261184,36914
265227,37048
267240,37460
269127,37837
271222,38161
272826,38376
274762,38489
276332,39045
277985,39369
